f_width, average_velocity
0.3, 0.0
0.3263157894736842, 2.1614025033018067
0.3526315789473684, 3.5933033314569434
0.37894736842105264, 3.3308594385788757
0.4052631578947368, 2.6525779091912507
0.43157894736842106, 2.34171234464485
0.45789473684210524, 2.4003610560105884
0.4842105263157895, 2.351809359460901
0.5105263157894737, 2.153059223042315
0.5368421052631579, 1.8128400296509328
0.5631578947368421, 1.8126658885199423
0.5894736842105263, 1.4329699187855398
0.6157894736842106, 1.1142697449691241
0.6421052631578947, 0.9484422484381647
0.6684210526315789, 0.8895110570944318
0.6947368421052632, 0.8459749036087939
0.7210526315789474, 0.7606243615460635
0.7473684210526316, 0.6326726638676393
0.7736842105263158, 0.4567583616957045
