kb, average_velocity
1.0000000e-02, 1.2525998e+00
1.0000000e-03, 2.1871950e+00
1.5000000e-02, 9.9519337e-01
3.5000000e-02, 3.5142459e-01
5.0000000e-02, 0.0000000e+00
5.0000000e-03, 1.7396688e+00
5.0000000e-04, 2.2194480e+00
5.0000000e-05, 2.2446257e+00
