f_ω, average_velocity
1.0000000e+01, 3.1528608e+00
1.2000000e+01, 0.0000000e+00
2.0000000e+00, 0.0000000e+00
4.0000000e+00, 0.0000000e+00
5.0000000e+00, 0.0000000e+00
6.0000000e+00, 2.7257282e+00
8.0000000e+00, 2.5176551e+00
