f_β, average_velocity
0.0, -1
0.01578947368421052, -1
0.03157894736842105, -1
0.04736842105263158, -1
0.06315789473684211, -1
0.07894736842105263, -1
0.09473684210526316, -1
0.11052631578947368, 0.4020933109946202
0.12631578947368421, 0.7523100502837035
0.14210526315789473, 1.0196774195495637
0.15789473684210525, 1.2963787181791657
0.1736842105263158, 1.5807865780825228
0.18947368421052632, 1.8688188038817584
0.20526315789473684, 2.156547988498946
0.22105263157894736, 2.4396628022582023
0.23684210526315788, 2.7138681052827427
0.25263157894736843, 2.9750385349684683
0.26842105263157895, 3.2202407430664177
0.28421052631578947, 3.4467817406187433
0.3, 3.6538032480990377
