kb, average_velocity
1.0000000e-02, 8.9820605e-01
1.0000000e-03, 1.5669716e+00
1.5000000e-02, 6.8384677e-01
3.0000000e-02, 2.1192436e-01
5.0000000e-02, 0.0000000e+00
5.0000000e-03, 1.2490348e+00
5.0000000e-04, 1.5905221e+00
5.0000000e-05, 1.6089460e+00
