f_β, average_velocity
0.0000000e+00, 0.0000000e+00
5.0000000e-02, 6.1772575e-03
1.0000000e-01, 4.0190975e-01
1.5000000e-01, 1.5227839e+00
1.7000000e-01, 1.9542415e+00
2.0000000e-01, 2.5176551e+00
2.3000000e-01, 2.9112188e+00
2.5000000e-01, 3.0032936e+00
2.6000000e-01, 2.9934196e+00
2.7000000e-01, 0.0000000e+00
3.0000000e-01, 0.0000000e+00
