f_width, average_velocity
3.0000000e-01, 0.0000000e+00
3.1000000e-01, 0.0000000e+00
3.3000000e-01, 2.9700000e+00
3.5000000e-01, 3.6157813e+00
4.0000000e-01, 2.8123033e+00
4.3000000e-01, 2.4373244e+00
4.5000000e-01, 2.4923290e+00
5.0000000e-01, 2.3091909e+00
5.5000000e-01, 1.6255403e+00
6.0000000e-01, 1.0587507e+00
7.0000000e-01, 7.5892935e-01
8.0000000e-01, 0.0000000e+00
