f_width, average_velocity
0.3, 1.5836839259544826
0.3263157894736842, 3.796767514680957
0.3526315789473684, 4.243744860912318
0.37894736842105264, 3.950908202579495
0.4052631578947368, 3.1734203602588615
0.43157894736842106, 2.8214084526998735
0.45789473684210524, 2.816587425158902
0.4842105263157895, 2.7476591047125116
0.5105263157894737, 2.5668651879073083
0.5368421052631579, 2.2446878531804138
0.5631578947368421, 1.87708964323042
0.5894736842105263, 1.559051195035652
0.6157894736842106, 1.367325503167538
0.6421052631578947, 1.270682732500808
0.6684210526315789, 1.1914704533343328
0.6947368421052632, 1.06162053017022
0.7210526315789474, 0.8787467138207615
0.7473684210526316, 0.632868313966045
0.7736842105263158, -1
0.8, -1
